,is_spoiler,review_text
23209,True,"I'd like to keep my review rather to the point.Pros: 1. its theme - dream is a fascinating topic to say the least. There are a lot of unknowns in dreamworld. 2. its plot - there are several sweet twists and unpredictable turns. 3. its edgy drive - although you know what's coming next, still you feel jumpy about it when it does.4. its rapid storyline - the story moves fast from one scene to another, making the viewers feel like on a roller coaster ride. At times, it's hard to keep up, even after watching it several times. 5. its sophistication - there is a lot of information to remember and digest. This is the very thing the modern moviegoers are after, I believe. 6. its realism - okay, pun intended. The movie explains (or at least tries to) the ins and outs of what dream is about and how it functions, some of which are very familiar with and dear to us.Cons: 1. its poor character development - although the acting was convincing enough there was not enough of character development. I wonder how many people really felt connected to the main character(s) after watching the movie. Yes, the movie talks about emotional struggles but it was more of an action film than anything else, if you ask me. 2. too many distractions - I found that the movie had more characters than necessary. They may play certain roles in the plot but they seemed more of distractions than anything else. I wish the movie was more focused. 3. a bit preachy - I noticed that the characters would explain things about dreamworld and then the exact things happen later in the movie. I'm afraid, Inception overused this trick. In conclusion, its theme is fascinating but its delivery is not without room for improvement. I highly recommend you to go and read Somewhere carnal over 40 winks, if you dig this kind of flicks. Cheers!"
23210,True,"I cannot ignore facts. I cannot ignore mistakes and plot holes, bad writing, or bad marketing. I cannot ignore hype, especially when it's already on the IMDb top 250, it received praise from critics, cashed in a lot of money, and people call it stunning and unforgettable. The simple truth is that Inception does not live up to the hype. Let me start with the trailer. All the coolest things (the folding city, the collapsing cliffs, the train in the street) are totally unessential to the plot. None of that takes more than a few seconds. So why did they put them on all the posters as well? Nevermind. I'll move on to the real problems of the movie.So I heard all these people saying how complex the movie is. How I'll need to watch it twice. How the shocking ending will blow my mind. I knew exactly what that ""shocking ending"" would be half way through the film. The very last paragraph of this review deals with the ending. It's not exactly a spoiler but you can skip it if you don't want to know anything.Cobb (DiCaprio) takes on a mission to implant a thought into Fischer's (Murphy) mind. As a reward, his contractor Saito (Watanabe) will clean his record with the LAPD. Cobb is wanted for the murder of his wife and consequently he can't return to USA and see his children. Throughout the movie, this is Cobb's main inner conflict, that before he fled the country, he didn't get a chance to see the kids' faces and he wants to see them again. Michael Cain has a very small role as their grandpa and DiCaprio's father-in-law. Why doesn't Cain take the kids someplace so they could be with their father? People move all the time. Or why doesn't he send Cobb some home movies if he wants to see their faces so much? They could even have video calls and all that stuff. It's a long distance relationship but it's something. Well, apparently no one thought of that, and so the main character's main motivation for his actions makes no sense. As for acting, DiCaprio was good. But if you've seen Shutter Island, You've seen a third of Inception. Dead wife, small kids, a sense of loss, a pretty wooden house in a field, all those flashbacks Teddy had in Shutter Island it's all in Inception. Minus the funny Boston accent.The mission these mind thieves embark on is to plant an idea into a rich guy's mind. This is called inception. Hence the title, I guess. Everyone says it's impossible to do, so you know they are going to succeed in the end. Inception is essentially a heist movie, but instead of getting into a vault, Cobb's team has to get inside someone's mind  which happens to look like a vault. The supposed complexity of the movie boils down to the idea of a dream within a dream. Basically, imagine that once you are plugged inside the matrix, you plug yourself into yet another, deeper, matrix. There, I just explained the super complex plot of the movie. But in case that wasn't enough, there is Ellen page's character, Ariadne. She is the obligatory new member of the team that is introduced to represent the audience and their questions. I'm fine with that. Every movie has one of those uninitiated people. The thing is, she understands everything too quickly and becomes suddenly becomes the most competent character. Pretty convenient, if you ask me.Let me finally get to the mission. It's the worst part of the movie. Watanabe wants Murphy, who just inherited a huge corporation, to dissolve it, because it was going to become a huge monopoly. So Watanabe hires DiCaprio to plant the idea of splitting the company in Murphy's mind. And so they do that. For two and a half hours. But I don't care if he splits the big company or not. Why should I care if Murphy has a bigger company than Watanabe? The stakes of the movie aren't high, they are nonexistent. I am not given any reason to care about whether or not they succeed. I'm only given more and more action set pieces to look forward to, and a lot of cool slow motion and zero gravity fights reminiscent of The Matrix, but I'm not given any reason to care for what is happening. I liked Watanabe's character only because I like Ken Watanbe. As for Saito himself, I don't give a damn if his competitor destroys his company or not. They don't tell us what consequences it would have, they don't show us what happens with the company, they don't do anything with this initial idea. Which is strange, because the movie is all about ideas being important. Okay, so I didn't like the plot and the acting was nothing new. What about the rest? Hans Zimmer's unremarkable score works well with the scenes but it would be super boring to hear on its own. The visual effects are good but since all the coolest city-folding scenes were so short, there wasn't really that much to do. The zero gravity stuff was done well, I'll give them that. Cinematography was good, bordering on too much shaky camera.Here's the paragraph about the ending:The big ending is that you are supposed to be unsure what was a dream and what was reality. If it was real, then it's stupid because DiCaprio had dozens of ways to be with his kids without making things so incredibly complicated. The movie is supposed to make you think, but if you think about it the whole plot falls apart. If it was a dream, then it's a stupid cop out on Nolan's part. An excuse for all the things that didn't make sense. It was all a dream, so screw you, audience."
23211,True,"The central idea of ""Inception"" is an interesting one: technology exists to enter other people's dreams in order to steal their most private secrets or to implant new ideas. With Christopher Nolan of ""Memento"" fame as writer and director, this should have been a smart, compelling movie. Unfortunately, ""Inception"" is a bloated failure.The root problem is that Nolan replaces the fascinating surrealism of dream worlds with lengthy outtakes from James Bond movies. For example, early in the film, when Cobb and Ariadne are sitting at a café in a dream world, Cobb tells Ariadne to stay calm. What's going to happen? Is the waiter going to bring her a glass full of wriggling eyeballs? Is she going to turn around and see her best friend from high school having sex with Abraham Lincoln? No. THINGS START EXPLODING. And that's the whole movie in a nutshell: gaudy special effects and endless fight scenes as a poor substitute for imaginative ideas.The matryoshka-doll plot of dreams within dreams isn't nearly as hard to follow as one might imagine. This is largely because nothing of consequence happens at higher levels once our heroes have moved on to deeper levels. The higher-level supporting actors just fight off bad guys -- and overblown special effects -- until it's time to bring back their colleagues from the depths.Nolan should sit back, watch a few of the best movies by Luis Bunuel and David Lynch, and try again with one-tenth the budget and ten times the imagination. (Okay, that's never gonna happen, but it's *my* dream.)"
23212,True,"Just to start off, I read about 20 pages of reviews of this movie and had a few things of my own to add. I actually had to register to IMDb so I can explain why this movie is so bad. Seeing that this piece of garbage is rated 9 out of 10 made me wanna vomit. But enough about that, let's get to the serious issues with this movie. 1: Leonardo DiCaprio has not changed his role for the last 5 years. Am I the only one that notices this? He always plays some guy that has deep seated emotional issues relating to the loss of a loved one. Can he play anything else besides the loner that lost the love of his life and now has psychological scars that go so deep they hit the street he's standing on? 2: Why didn't they shoot his stupid wife anytime she showed up? He wasn't the only guy on the team that knew she was out to mess things up. Why not say, ""Hey guys, if you see my wife shoot her because she's going to get us all killed. She's not real and is already dead, so go ahead and blow her away so we can get back to work.""? 3: The dream world was the dullest I have ever seen. ""Oh man...M.C. Escher stairs, a train driving down the street, buildings that go sideways and upside down..."" That's all they could come up with? ""Willy Wonka and the Chocolate Factory"" was more imaginative than the supposed ""dream-world"". I'm pretty sure most dreams have more random stuff than that happen in them. Where's the off-the-wall imagination? I don't think anyone that says they had ""the weirdest dream"" explains it as, ""Well the world was the same, but a train showed up."" ""And?"" ""That's it. Everything else was completely normal."" Weak. 4: If I wanted to watch ""Call of Duty,"" I'd play the game. All of the shoot-out scenes looked like they were taken from ""Game Informer"" magazine screen shots. 5: How come when they went to Limbo, it was in DiCaprio's mind? Can anyone explain that? Is there just one Limbo that in all this movie world's history of dream exploration, but only he and his stupid wife got to and did stuff in? Or was his team (two of whom knew how messed up in the head he was) too dumb to say, ""Why don't we keep you out of this and go into someone else's head just in case this turns out badly?"". 6: As far as 9 out of 10, (really folks?) go watch ""Citizen Kane,"" ""Lawrence of Arabia,"" or even ""The Dark Crystal"" if you want a good movie that can stand-up to even the most mediocre critical observation."
23213,True,"Christopher Nolan has done some great work.His ideas and direction singlehandedly gave new life to the beloved superhero Batman.While the film Dark Knight will always be recognized to the new dimensions it added to the classic Batman series of movies and comics, Inception was nothing more than a dull and linear plot, surrounded by and an even duller and more linear plot.The centerpiece of this movie was supposed to be its convoluted storyline which was scattered across multiple levels, in essence puzzle that forces the viewer to think through the movie and decipher the ending.The concept of ""levels"" and or ""interconnected plots"" worked very well for such great films such as the Matrix, 2001 A Space Odyssey, Logan's Run, or Total Recall. Inception not only miserably fails at this but it also lacks in other places as well.-Characters: Great actors, whom have all done great work in many movies spanning decades. However the characters in this movie came off as neutered eunuchs who lacked sense, emotion, and any sort of cohesiveness. (Sir Michael Caine and Tom Berenger's performances were appalling and the ""team"" of dreamers lacked screen dynamics and chemistry.) -Action: For a dream world, the action in this movie is very unimaginative and is well within the typical Hollywood bounds. Car cash scenes where the heroes drive and shoot, building shootouts, and melodramatic bullet wounds (as always one character is wounded critically, the team must save him; however the character can still ""fight"".) -Plot: This movie could have easily been over within 1 hour of rolling. Not only was Inception's ""puzzle ending"" blatantly obvious 40 mins into the film, but the storyline it self lacked any substance or draw. The overly complicated ""puzzle piece"" effect which Nolan was trying to achieve, was nothing more than the main story line being surrounded by excessive fluff and whimsical bullplop.*I will credit the movie with one notable mention. Nolan managed to work a Matrix style fight scene (which have been overdone by Hollywood since the early 2000s) into the small confines of an elevator.In the ending, Inception is not the great rave that many make it out to be. While the movie takes place in a ""dream world"", where bounds are limitless, the movie itself is sterile, cliché, repetitive, and unimaginative. This is even further compounded by one dimensional characters, and a drawn out storyline that pretends to be an enigma.Perhaps Christopher Nolan's true intent was to make a sterile and lack luster movie aimed strictly at making today's self-absorbed and obtuse Facebook-hipster generation feel ""smart"".Inception can be compared to a class presentation where the student is unprepared. To hide this, the student uses convoluted and circular logic to stammer through the presentation and pass the time. It is obvious that the student knows nothing and has wasted several minutes talking about a subject that could have been explained in seconds. Nonetheless, since the student used ""big words"", talked excessively, and is deemed to be in the ""mainstream"" the class gives a standing ovation regardless..."
23214,True,"What do David Lynch, Luis Bunuel and Wes Craven have in common? They have all created far superior films about dreams on a fraction of Christopher Nolan's budget. For a film about dreams everything looks so dull and drained of color. Inception never feels surreal like a dream. It feels like ridiculous PG-13 action sequences strung together by character's explaining it's all a dream within a dream etc. When watching this film, I thought of far superior films about dreams and alternate realities, Bunuel and Dali's ""Un Chien Andalou"" (1929), ""The Blood of a Poet"" (1930), ""The Wizard of Oz"" (1939), Hitchcock's ""Spellbound"" (1946), ""Meshes of the Afternoon"" (1947), Dr. Sues' ""5,000 Fingers of Dr. T"" (1953), ""Le Jetee"" (1962), Fellini's ""8 1/2"" (1963), ""Kingdom of Crooked Mirrors"" (1963) Fellini's, ""Juliet of the Spirits"" (1966), ""Who Wants to Kill Jesse"" (1966), ""Valerie and her Week of Wonders"" (1970), ""Viva La Muerte"" (1970), ""The Discreet Charm of the Bourgeoisie"" (1972), Tarkovsky's ""Solaris"" (1972), ""The Hourglass Sanitorium"" (1973), ""Eraserhead"" (1977) ""Altered States"" (1980), ""Time Bandits"" (1981), Pink Floyd's ""The Wall"" (1982), ""Forbidden Zone"" (1982) ""Videodrome"" (1983), ""A Nightmare on Elmstreet"" (1984), ""Dreamscape""(1984), ""Brazil"" (1985), ""Paperhouse"" (1988), The B-movie ""Beyond Dreams Door"" (1989), ""Santa Sangre"" (1989), ""Jacob's Ladder"" (1990), ""Kurosawa's Dreams"" (1990) ""Total Recall"" (1990), ""Naked Lunch"" (1991), ""Arizona Dream"" (1993), John Carpenter's ""In the Mouth of Madness"" (1995), ""12 Monkeys"" (1995),""City of Lost Children"" (1995), ""Lost Highway"" (1997), ""Dark City"" (1998), ""The Matrix"" (1999), ""eXistenZ"" (1999), ""Being John Malkovich"" (1999), ""The Cell"" (2000), ""Waking Life"" (2001), ""Donnie Darko"" (2001), ""Muholland Drive"" (2001), ""Demon Lover"" (2002), ""Eternal Sunshine of the Spotless Mind"" (2004), ""Strange Circus"" (2005), ""The Fall"" (2006), ""The Science of Sleep"" (2006), ""Pan's Labrynth"" (2006), ""Paprika"" (2006) and the list goes on and on and on. 100's of French and Asian films; hell, even the ""Nightmare on Elmstreet"" sequels.In ""Inception"" Leonardo Dicaprio plays Dom Cobb, a dream thief who can enter people's dreams and steal top secret information. Like his character in ""Shutter Island"" (which had better dream sequences) Leo is obsessed with his dead wife and longs to go home to see his kids. He's given a mission by a corporate boss to enter a rival's dream and implant false information. By completing this mission, he'll be able to go home to his kids. Dom hires an architect played by Ellen Page to create false dream worlds. Then there's his agents, who are one dimensional rip offs of characters from ""The Matrix"" (A far more entertaining film) For a film about dreams, you'd expect a little Fruedian sex or nudity. Oh no we don't want are dreams to go beyond a mass-marketed PG-13 rating. Or how about at least abstract surrealism or stream of consciousness dialog? Instead we have all the character's taking time out to explain everything to Hans Zimmer's overblown music. In the words of Ariadne ""Wait, Who's subconscious are we going through exactly?"". That's odd, a shootout on skis, ""James Bond"" style and Look I'm floating like in ""The Matrix"" (Lets not get to bizarre or fun) Maybe, I'm being critical, because I'm by no means a fan of Christopher Nolan. ""Momento"" and ""The Dark Night"" were good films, but should never be mentioned in the same breath as HItchcock or Kubrick. People really anger me comparing Inception to ""Blade Runner"", or ""2001, A Space Odyssey"". Even ""Avatar"" had more heart and soul than ""Inception"". In ""Avatar"", I actually cared about the characters and felt like I was in a different world. In this film how am I supposed to care for rich corporate suits who want to steal secrets. How about having an Exxon executive jumping in the dreams of a BP executive? If it's all a dream within a dream within a dream of one dimensional Hollywood characters, why should the audience care? And why take 150 mins. to tell a story, when it could of been done in less than 2 hrs.?On one note, the special effects were impressive and the film did have great acting. I think this film could of been good if it was more colorful and dreamlike and maybe 45 mins. shorter. ""Inception"" fell cold and flat of having a heart and soul. Why do films now look gray, poo brown or washed out in color? Movies used to be so much brighter. Compare this film to ""Suspiria"" (1977), ""What Dreams may Come"" and ""Edward Scissorhands"" and you'll see what I mean. Spending $200 million dollars on a film that could of fed a 3rd world country for 10 years, is more of a nightmare than a dream. All that money spent and it still looks visually boring, artless and dull. As a person who practically makes minimum wage and lives off Ramen noodles, I watch sci-fi and fantasy films for an escape. Why would I care about a rich corporate rival who has a bad relationship with his father? Boo-hoo! In the end I felt like I was viewing the unimaginative dreams of Wall Street brokers. This is a film made by a room fool of people, rather than an artist with a vision. A mass marketed product like fast food, masquerading itself as nutrition. For this film to be in IMDb's top 5 is a joke; this is mediocre at best. People are saying that this is better than ""The Wizard of Oz"", ""Pulp Fiction"", ""Blue Velvet"" or Citizen Kane"". I must be dreaming, no I kicked myself and this is for real."
23215,True,"I will try not to repeat some of what others have so brilliantly written in some reviews. I just add this in order to contradict the hype that has allowed this movie to be ranked so high in IMDb. The same has been happening with other movies, and that is a shame for IMDb, which is becoming unreliable.I want to stress the fact that the only complexity in this movie is trying to figure out how you can invest so much money in a script that continuously makes a fool of the average critic intelligent viewer! The story is not complex. It is deliberately confusing in order to conceal its stupidity. Nothing that really matters is explained in the movie.And there's so many embarrassing clichés (the recruiting of the team, the episode in Mombassa, the assault of the ice fortress, many of the action sequences)... the average viewer must be disappointed!And the dreams - which serve as the scenario to most of the movie - are populated by the utmost lack of imagination.Finally, there's the score, louder and louder, building a suspense that is never there, for everything is a dream, and we do not quite catch what there is exactly that can go wrong...Well, all in all, the movie is an insult to the average intelligent viewer and, having been directed by Christopher Nolan, an ultimate disappointment."
23216,True,"A visual Tour De Force that gets lost in its own complex world, Inception stars Leonardo DiCaprio as Dom Cobb; a rogue 'extractor' who steals elements of dreams and sells them to the highest bidder, all in the name of corporate espionage. But things start to go drastically wrong when Cobb takes on a seemingly impossible job and his dead wife turns up to make trouble.Ingenious but convoluted, Inception may not be to everyone's taste  but it is undoubtedly a Chris Nolan picture; the same man who gave us Memento, The Prestige and of course, The Dark Knight. The problem is that for all the slick visuals and clever narrative structures, we end up with something cold, clinical and frustratingly diffuse.Why Inception falters, and I appreciate that I may be in the minority, is that for such a surreal and imaginative concept to work, it requires an equally surreal and imaginative mind, and Nolan is just too conservative and too technical for the content. It might have made a more interesting film had it been directed by P.T Anderson or, dare I say it, Terry Gilliam."
23217,True,"Unless you call this movie a masterpiece. Then you are.Damn 1,000 word limit. Gotta make this quick.Spoilers.The film is 2.5 hours long, yet feels like 5.2, and there are a few reasons for this. One of which is the fact that a preponderance of the first act is amateurish, conflict-free exposition, which does not bode well for repeat viewings.The ""learning about the dream world"" scene is atrocious. No conflict. Both Leo and Page's characters already knew what was being explained. The similar ""learning about the matrix"" scene in The Matrix did it right by having one character not know anything. Plus, there was conflict. Neo gets his ass kicked and fails to make the building jump. Much more entertaining.There's another problem with the whole section of bending the landscape where Leo explains the negative aspects of altering the dream world. The closest we get to seeing the dream world altered was Leo becoming Mr. Charlie, yet the most that happens then is a bunch of extras turn and look at Leo. That's it. The idea was not exploited. You literally have to go out of your way to miss that opportunity. Hell, that Mr. Charles scene is shorter than the scene that explains why altering the dream world is bad! Let's not forget this whole idea of one corporation one-upping another has absolutely no personal ramifications for anyone on screen or in the audience. It would have greatly amped up the internal conflict if Leo had to struggle with the notion that helping the guy who could help him would endanger someone else close to him, or us, or someone else. ANYTHING could have worked better than an energy contract that means less to me than my neighbor's bath mat. Come on. The totems were handled very poorly. All we need to know is their purpose. We don't need to know anything else, yet the film keeps piling on needless information.If this is a heist film, where is the threat of being caught? A van falls for an endless amount of time. Joseph Gordon-Levitt floats bodies down a hallway for half an hour, real-time. The guy from Bronson does his thing, whatever the hell that was. These are not complex tasks or events, but rather straight-forward in nature. Dragging them out for a solid chunk of the film is what creates the glacial pace and makes a long film seem even longer.Inception has no real villain. You can make a case for Cotillard, but she is an internal enemy. She never takes a ""physical"" presence and never threatens anyone except Leo. Everyone else is dealing with faceless assassins. That makes it feel distant from the rest of the action. It doesn't even have anything to do, emotionally, with Leo's goal of getting home to see his kids. None of this is tied together. Leo didn't even know what the hell was going on with Cillian and never even knew of the outcome until after the fact. He's separated from the physical manifestation of his goal for a majority of the film. I ended up not caring if the plan succeeded. If it was all somehow tied together, the audience would be able to experience that great emotional catharsis that everyone was talking about...but that didn't happen.In fact, Leo is so separated from the actual plot that you can literally put Levitt in his place and not even need the hero in the dream world at all! Hell, you can even put Page there, since all she does after designing the boring and lifeless dream worlds is hang out with the guys and tell Leo he's crazy. I really wish she had something else to do besides play the part of the fifth wheel.Leo's lack of involvement in the main action of the story creates a 'so what?' moment when the problem is solved for him, and I can think of absolutely no reason why the hero should not be the one to conquer the main conflict. Brody kills the shark in Jaws. He doesn't send Hooper and Quint out to do his dirty work while he stays behind to deal with his fear of water. It's integrated. The hero is forced into dealing with the physical, and in turn, but learn to conquer his internal fears before he can conquer his external opponent. This is Screen writing 101, Lesson 1, and Nolan got that wrong. That's why I don't believe the reports that he spent 10 years writing the script since it only took me 148 minutes to figure out exactly what was wrong with it.Not to mention the conceit that to enter someone else's dream and control it means that you would have to control your own subconscious, which they state elsewhere is impossible. Way to go, genius.Pretty much everything this film does wrong, The Matrix does right. Watch that instead.PS: The 'taking a scene from the middle and putting it at the beginning' gag reached its peak effectiveness in 2002 and has absolutely no place in modern films. It's getting as bad as that tired old 'It's all a dream' scenario. Oh, wait..."
23218,True,"Well, first of all, I have to absolutely clearly admit that I'm writing this review to lower the rating of this movie, since it was one of the biggest movie disappointments of my life. Currently 9.1 for this thing is unbelievably high. But I guess I get why the rating of this movie is so high. It makes the people feel good about themselves because they understood the ""complicated"" plot. Yes, thats it! Inception actually managed to plant the idea to the people that it was a good movie. At best its an average action movie with too long boring action scenes with the ""added value"" of a ""smart"" story. However the story is not smart at all. Its about people that somehow are able to get into people's dreams and do stuff there, or even go to dreams in dreams, and dreams in dreams in dreams, and limbo... Wow, you get it? You are really smart, and should rate this movie 10!!! But seriously, this story is really stupid. Why should I care that the Japanese guy wants to destroy the other guy's (the scarecrow from Batman) company? How did the architect girl become expert on dreams and psychology after two dream sessions? How are they even able to get into the dreams? I guess the acting overall is not bad, but who cares if the plot is so annoying. And finally, the twist at the end is really predictable. Yay, the spinning thing stops to spin: he might be dreaming! Really original. You might say that I did not get the message of the movie. Well, I did get it, but it was too stupid to care about it."
