,is_spoiler,review_text
4361,True,"Rather than concentrating on everything that is great about The Godfather, a much easier way for me to judge its quality is on what is bad about it. Almost every film has something that I don't like about it, but I can honestly say that I wouldn't change anything about The Godfather. There is nothing weak about it and nothing that stands out as bad. That's why it gets ten out of ten.This is one of those films that made me wonder why I hadn't seen it earlier. The acting from everyone involved is great, Marlon Brando comes across perfectly as the head of the family, and James Caan and Al Pacino are excellent as his sons. The soundtrack by Nino Rota is also very memorable, bringing back memories of the film every time I hear it. The plot has to be excellent for it to get ten out of ten, and it is, it's far from predictable and the film is the definition of a great epic.The film is pretty shocking in the way every death occurs almost instantaneously, and as it spans ten years so many different things happen and every minute of it is great entertainment. It's a well-made and entertaining film that is only the first part of a trilogy, but it stands on its own as a wonderful film in its own right. If you haven't seen it, what are you waiting for? This was one acclaimed film that didn't disappoint."
4362,True,"The Godfather is one of the few films in which I personally did not find any significant weakness even after many viewings. From the direction, to the acting, to the storyline, to the score, The Godfather has the word classic written all over, and it really is not much of a surprise that it is now considered by many one of the top five movies of all time. Perhaps when it comes to cinematic techniques The Godfather has not been as revolutionary as Citizen Kane, but its influence on motion pictures is comparable. Rarely a movie has defined or re-defined a genre as much as this one did for ""gangster movies"", but its influence goes well beyond that.The Godfather's influence has been so big through the years that elements of it can be found in virtually every ""organized crime film"" nowadays; almost every comedy featuring a gangster in the last few years has spoofed something in The Godfather. The Italian-American old mobster a-la Don Vito Corleone has become one of the most established figures in the public's imagination.But to say that The Godfather is simply ""influential"" is to diminish its true qualities, and so is to describe it simply as ""a movie about gangsters"". The Mafia is certainly the main focus the story revolves around (despite the fact that the word is never mentioned), but although the movie never tries to forcedly insert separate subjects it contains an amount of psychological and social subtexts that cannot be overlooked. Considerations on how the social environments changes us, on how moral values appear different from different point of views, on how violence can destroy a human soul, and on how power can corrupt an individual are deeply blended into a story that stays practically always true to complete realism, and the result is a picture of astonishing efficacy and believability.As good as the direction and the story are, it would be unfair not to consider the major role that the actors' performances had in the cinematic triumph that was The Godfather. Praised by many as the best cast to ever appear in an American movie, all the cast in The Godfather succeeds in portraying complex, three-dimensional characters without ever making a slip. The exceptional portrayals of Don Vito and Michael Corleone respectively by Marlon Brando and Al Pacino, the performances by Robert Duvall, James Caan and Diane Keaton as Tom Hagen, Santino Corleone and Kay Adams, the ruthless Virgil Sollozzo played by Al Lettieri -- as well as more than a few other roles -- are all perfect for the movie, and they all succeed in making us believe these are real people, not just actors. We are not watching a central character and a bunch of incomplete figures that revolve around him: although Michael Corleone is the character that gets the most screen time, everybody is the center of this world his own way. The movie makes it possible for the viewers to identify with different characters and to observe how their personality and story fits in, and it does it much more effectively than many bloated multiple-storyline movies that came out in the last few years.The movie opens on the wedding of Don Vito Corleone's daughter, Connie (Talia Shire). Don Corleone is a powerful man, and it was not without the use of violence that he achieved this position during the course of his life. The wedding scene gives a perfect setting of where and how the Don's power extends; from the regular worker in a neighborhood, to the immensely popular singer, to the friends in politics and right to the ruthless killer, Don Corleone has links to people ready to ask him favors and to pay him back. Some are trustworthy, some are not, but thanks to his intelligence and intuit the Don can almost always distinguish the two.However, this is 1946, times are changing, and to many of the younger people working in the crime business, Don Corleone's ideas are becoming obsolete. The Don believes that the new trend in the business, narcotics, is too dangerous and the families dealing with it would eventually end up self-destroying; while his family had deals in alcohol and gambling for a long time, part of the Government and law enforcement was ready to close one eye. Drugs are another thing.To this day, Don Corleone was able to keep things together while maintaining his economic and political power, but things will brutally change when a powerful drug dealer name Sollozzo enters the picture. The refusal of Don Corleone to cooperate with Sollozzo, and a weakness immediately spotted by the latter, will ignite a war that will cost many lives, and that will see Michael Corleone, Vito's younger son and the one who never wanted to take part in the family business, lose his ""innocence"" and transform into a gangster as ruthless as the people he initially stood up against.I purposely decided not to spoil much about the plot because I believe that the film is perfectly enjoyed without knowing anything in advance, and -- believe it or not -- there are still quite a lot of people who have never seen this movie. There are multiple scenes that manage to create an incredible tension, various twists, and although like any other masterpiece The Godfather can be watched knowing the whole story beforehand and still be a phenomenal experience, I believe it is always a pleasure to see it for the first time and enjoy its multiple climaxes. Besides, to outline such complicated characters and such an emotionally intense story in a short review like this one would be inadmissible.There has been much speculation on how the events in The Godfather novel written by Mario Puzo, the book the film is based on, could be an exposé of true facts. Many believe that the character of Johnny Fontane , for instance, was based on Frank Sinatra's real life, and many of the other characters were modeled after real people. I won't go into that: frankly, I have no idea whether these voices are reliable, although the Frank Sinatra reference seems obviously quite believable.The cinematography of The Godfather is dark and tasteful, and colors are used perfectly to give a true feel of the era it is set in. There is a fair amount of violence, though rarely gratuitous.The Godfather certainly doesn't need my recommendation. The film is universally considered one of the best of all time, and the performances by Pacino and Brando alone is the stuff of legends."
4363,True,"This is by far the best movie ever to give a portrait organized crime, this movie goes deep inside and shows it all inside out..With superb acting by especially Al Pacino as Mike Corleone and Marlon Brando as Don Vito corleone this movie shows how one of the head mafia families in New York works, it gives a detailed picture of how their business runs and what kinda chances they got to take on their business, for example their denial to step inside the narcotic business brings on alot of troubles, but also it shows what kinda sacrifices they make, every day could be their last day..Al Pacino shines above all in this movie, as the smart boy of the family he returns after fighting a war for his country, at that time not involved in the family business, but it doesn't take long before the war breaks lose and he see no other ways than to step in and fight for his family.This is definetely a ""must see"" masterpiece."
4364,True,"""The Godfather"" simply put, is one of the greatest films of all time. The script is thee best I've ever read. The direction is flawless. The acting may very well have the best ensemble cast in any movie I've ever seen or will ever see. It's also one of the most precise and intricate films I've ever come across as writer, Mario Puzo brings out some of the most hidden and guarded secrets of the underground world ever captured on film. Watching ""The Godfather,"" is like watching cinematic art. Francis Ford Coppola's direction is what brings this film, that's so ambitious and so grand, down to earth with precision direction as he handles each and every scene with such care. The film starts with a black screen and an opening monologue from an undertaker. As the man starts talking about honor, family, respect, and justice we are pulled right in on his luminous eyes as he stands in near darkness. He begs for justice since the American system has failed him. He goes to Don Corleone (Marlon Brando) for justice. Don Vito is the man of power. He's the one who pulls all the strings and watches his puppets dance from behind the stage and out of sight; untouchable, or so we think. Some of the greatest moments in the film- and very intentional to show the distinguishable difference between Michael and Vito- are of Vito crying over his son, Sonny's (James Caan), death. When Michael learns of the news, he has little reaction. Two of the most emotionally powerful scenes in the film are from the cause of a loved one that has died long before he should have, and they come from Brando. As Vito stands over the body of his son he nearly breaks down. There is clash of feelings between the two men that are never conflicting, but compared. The film opens during the wedding of Don Vito' daughter, Connie (Talia Shire), and we see just how strong the bond of family really is. You have the family dancing with each other, drinking, laughing, and sitting next to each other to show how close they are, then we see some of the outsiders such as the Barzini family, and surprisingly Michael (Al Pacino) along with his girlfriend Kay (Diane Keaton) on the outskirts without much interaction. Michael seems almost out of place as if he is the adopted son and Tom Hagen (Robert Duvall) is more apart of the family than he is. His opening words are to Kay, and they include, ""That's my family, Kay. That's not me."" We get the feeling that Michael's nearly ashamed of the stigma that goes along with his last name: This is what makes Al Pacino' role- significantly- the hardest performance in the entire film to portray. He's the one doing all the heavy lifting as he has to go from outsider and completely against the family's actions and businesses to, by films end, head of the family. Brando has the teary eyed moments that actors live for, but Michael is too cold for that. Never for a second as he gradually comes to power do we think this turn is ridiculous or laughable, and in lesser hands it very easily could have been. The final act of the film is loaded with plot points as decisions are made left and right as the film becomes visually and emotionally captivating. As the film draws to an end, Michael has gained half of the power of the family and makes most of the decisions. He's treated, not with respect, but as an outsider, too high ranking for his experience. The Corleone family is on the brink of disaster and losing everything, yet we never get that feeling. We see the two leader's confidence and we keep our confidence in them, even if the other family members doubt their decisions. Michael goes to Las Vegas and makes Moe Greene an offer he can't refuse. Then he refuses. This is Pacino' shinning moment in the film. There's no screaming or the hoopla that goes along with his name. After he treats Moe Greene like utter garbage, Fredo (John Cazale) get's upset and starts barking at him. Coppola is perfectly on his game here, too, as we watch from Fredo's height, looking down on Michael who sits in a chair as he coldly looks up with his radiating eyes, that have so much going on behind them, and simply says, ""Fredo, don't ever take sides with anyone against family again. Ever.""That's some serious foreshadowing for the second film, and only after watching the second film can you go back and appreciate what Pacino and Coppola pulled off in this scene; Cazale too. We have no idea how serious Michael is. These are some of the stepping stones that make Michael's change believable. He's not quite his father- Vito has a soft spot for his children (admittedly so)- as he's capable of turning on anyone and using the line, ""It's strictly business"" when it comes to family issues. Michael's sister, Connie, calls him a ""cold hearted bastard"" at the end of the film. It's hard to find better superlatives than that, yet we still love him. The interesting thing about Pacino' performance is that he doesn't sugarcoat it. He doesn't try to make the audience love him. He plays the character as the character should be played. That's the sign of great writing; great acting; and great directing since we could have very easily seen someone try to make him likable. This crew just presents the character with all his flaws and let's us decide if we love him or hate him. Its films like ""The Godfather,"" that made me wish I had amnesia, so I could feel the same heart pounding moments over and over again."
4365,True,"""The Godfather"" is a huge piece of film entertaining, involving sentiment, nostalgia, filial affection, pride, integrity, loyalty, corruption, honor, betrayal and crime... Within weeks of its release, it was clearly a blockbuster, a cinematic phenomenon, an exquisite Mafia epic with outstanding performances... Coppola got everything right, creating a landmark in American cinema...His film acutely details the inner workings of the criminal ""families,"" and the ruthlessness of those in organized crime, but also examines their steadfast loyalty, love for blood relations, and code of ethics... Coppola and Puzo subtly weave a complex narrative with themes of hypocrisy, power, and corruption which stands as a pulsating reflection of our uncertain times... With his raspy voice, deliberate movements, and penetrating stare, Brando creates a personage that will be remembered for ever... The line ""I'm gonna make him an offer he can't refuse"" has reached legendary statues... Brando's Don Corleone is the moral center of the film: a tough, wise, feared old Sicilian who has risen to become an all powerful leader in an empire of Italian-American organized crime...While crime may be the first image that comes into one's mind in the film, violence plays a vital part in this complicated tale... Brando is the head of one of the five families who are said to control the Mafia in the area of New York... He is opposed to any involvement in drugs, and refuses to risk his political contacts and prestige for such putrefied money... He is behind the time but he understands that society is not alarmed by ""liquor, gambling, and even women..."" He is also a loving family man... His sons, relatives and friends are part of his operations... He despises displays of weakness... He understands the strength of power and his wordless sympathy for Michael when he is forced to assume the ""sovereignty."" In the outdoor garden, father and son are affectionate to each other, but cannot express their emotions openly...The Corleones are a warm, close family and the motion picture (with l0 Oscar Nominations) shows the flavor of Italian-American home life... Don Corleone is an undisputed patriarch, and as played by Brando, he has almost the manner of a religious leader... His voice is quite and rasping, his chin stands as a symbol of his authority, and men kisses his hand as they ask for his favors... He is a charismatic leader and his eyes reflect his kind heart as his implacability...Pacino's gradual and subtle transformation is the heart of the film... From a gentle man to one of the most cunning, ruthless, and cold-blooded man ever to come on the screen, he has learned from his father never to talk in front of outsiders and always keep his own counsel... His commandment ""Never to take sides against the Family."" The opening shot of ""The Godfather"" sets the tone of the film as Don Corleone and some of his family listen to an undertaker, Amerigo Bonasera (Salvatore Cirsitto), pleading for justice for the near-rape and brutal beating suffered by his daughter...Attending the wedding of his sister Connie to young bookmaker Carlo Rizzi, Michael, a highly decorated Marine captain from World War II, points out the other guests to Kate (Diane Keaton), his non-Italian girlfriend... In the same time Coppola introduces us to his large cast of characters:Sonny (James Caan), the rough, hot-headed impulsive kid who never really grew up; Fredo (John Cazale), the troubled, shy, weak young man who can't seem to do anything right; Tom (Robert Duvall), the right-hand man, the legal adviser and adopted son to the Godfather steady, reliable, always thinking, always controlled; Connie (Talia Shire), the battered wife and rebellious sister, who achieves and promotes the movie's most horrific scene; Johnny Fontane (Al Martine), the idol star whose tears set up the shocking moment when a movie ""big shot"" named Jack Woltz (John Marley) finds himself in an horrifying pool of blood; Luca Brasi (Lenny Montana), the giant criminal thug, one of Corleone's most trusted enforcers; Tessio (Abbe Vigoda), the fearsome tall enforcer who implies the possibility of violent revenge guaranteeing Michael's safety; and Clemenza (Richard Castellano), the other faithful enforcer...With a beautiful score by Nino Rota immensely memorable, Coppola's motion picture remains a triumph, nearly perfect in its execution, composition, and impact..."
4366,True,"The Godfather is one of the very few films that doesn't have a single flaw.  Seeing The Godfather for the first time was the most amazing movie experiences of my life.  There's scenes that stay with you when the movies over, and you don't forget them.   Everyone makes the mistake of calling this film a movie about crime.  Its really a movie about family.  The dialogue is just unbelievable.  I've seen the movie at least 30, 40 times, and I'm still amazed at how perfect it is.  The music, the acting, everything.  People think that Citizen Kane is the greatest movie ever made...well, there's no way  that ANYONE can think that Citizen Kane is more moving, and has a better storyline than The Godfather.  The thing I find so amazing about The Godfather is how Michael (Al Pacino) changes throughout the movie.   Its my opinion that this is the greatest movie ever made, and I doubt that anyone can watch this movie, and think I'm crazy."
4367,True,"Before 'The Godfather' came out in 1972, the gangster genre, chiefly associated with Jimmy Cagney and the film noir style of the forties and fifties, had been in something of a decline. It was, therefore, a brave move for Francis Ford Coppola to attempt a three-hour epic based upon the family life of a Mafia don. The film opens in the immediate post-war period with the wedding of the daughter of Don Vito Corleone. Scenes of the wedding are intercut with scenes showing Don Vito himself in his study, granting favours and dispensing a crude form of justice as though he were an absolute monarch. We soon learn, however, that times are changing, even in the world of organised crime. Don Vito's empire has been based upon gambling, illicit liquor sales and prostitution. Other Mafia families, however, are eager for the profits to be made from drugs, and Corleone receives a proposal from a drug dealer named Sollozzo that the Corleone clan should join him in exploiting the narcotics market. Corleone refuses, ostensibly for business reasons, but it is made clear that his real objections to narcotics derive from his personal code of honour. Sollozzo, offended, orders an attempt to be made on Corleone's life. This fails, but Corleone is left seriously injured.The focus now shifts to the younger generation. Don Vito has three sons, Santino ('Sonny'), Fredo and Michael, and an adopted son, Tom Hagen. These four have contrasting characters. Sonny is hot-headed and impetuous, Fredo weak, Tom cautious and moderate. Michael, the youngest, loves his family, but initially wants to play no part in their criminal enterprises. Recently returned from the war, his ambitions are to qualify as a lawyer and to settle down in a respectable life with his Anglo-Saxon wife-to-be, Kay. The attempt on his father's life, however, persuades Michael that his first loyalty is to the family, and he agrees to be part of a revenge attack on Sollozzo and Captain McCluskey the corrupt policeman who is on his payroll. There follows a brutal cycle of revenge, as each killing is avenged by another murder. The film's emphasis on family ties, honour and vengeance recall the revengers' tragedies of the Shakespearean and Jacobean theatre. Coppola does seem to be aiming for a Shakespearean grandeur. Don Vito, the ageing monarch whose powers slip away is reminiscent of King Lear, Michael, a good man corrupted by power, of Macbeth (a comparison which will become even more apt in the later episodes of the trilogy). There is also something of Hamlet in Michael and Sonny's resolve to avenge their father. Such an ambitious film requires acting of a very high order if it is to seem credible, but Coppola was able to draw upon some of the best performances of the seventies. To my mind, this was Marlon Brando's last great role (I have never cared much for 'Apocalypse Now' and loathed 'Last Tango in Paris'), but it was one that he made the most of. His Don Vito is both terrifying and pitiable, part dictator and part lonely old man. His rasping voice (the result of an earlier bullet wound in the throat) conveys both menace and physical weakness. Don Vito may be a bad man, but he is also in a way a magnificent one, and his passing marks the end of an era. If the film was notable for the last of the great Brando, it also saw the birth of a new star. Except perhaps for 'The Godfather Part II', I have never seen Al Pacino give a better performance than he did here, as he portrayed Michael's passage from a 'civilian' (as his brother calls him) to a warlord, from an innocent young idealist to a ruthless killer. Given the length of time that Pacino is on screen, I am surprised that he was only nominated for Best Supporting Actor rather than Best Actor. It would be interesting to speculate who might have won if he and Brando had been in competition for the award. I am even more surprised that Pacino did not win as Best Supporting Actor; Joel Grey's role in 'Cabaret' (which did win) is more showy and a technical tour de force, but it lacks the emotional depth of Pacino's performance. I also greatly admired James Caan's role as the hot-headed Sonny. This is not a perfect film; it has flaws, both artistic and ethical. Artistically, there are places where it tends to drag, particularly after the killings of Sollozzo and McCluskey, and even more so after the killing of Sonny, although it recovers at the ending, which is a highly effective piece of cinema. Ethically, I felt that the film tended to take the characters' world view too much at face value. Don Vito may be a dictator, but he is in his own eyes a benevolent dictator, a man of honour who lives by his own moral code. As others such as Roger Ebert have pointed out, this is a film which views a closed society from the inside; the only outsider is Kay, and her role is a relatively minor one. As a result, we do not get to see the damage that organised crime does to the fabric of society, and the Mafia's own view of itself is never openly challenged. That is not to say, however, that the film is totally amoral. We do see that an ethos of taking revenge can spiral out of control and lead to unforeseen consequences, to the innocent as well as the guilty. This is particularly true of the scenes where Michael takes refuge in Sicily after killing Sollozzo. The dead man's associates track him down, and a bomb meant for him instead kills his innocent young Italian wife Apollonia. Although there may be no overt condemnation of the moral position of the Mafia, there is implied criticism of its bloodier deeds. All the characters, whatever the crimes of which they may be guilty, are careful to pay lip-service to the Catholic Church and its rituals. Throughout the film (indeed, throughout the trilogy as a whole) the traditional ceremonies of the Church form a backdrop to various criminal activities. ('The Godfather' begins with a wedding and ends with a baptism). It seemed to me that Coppola was using these scenes to make an ironic contrast between the values of organised crime and those of Christianity, especially at the end of the film. Michael, already a 'godfather' in the metaphorical sense of a Mafia boss, becomes one in the literal sense of a baptismal sponsor. Shots of him taking vows on behalf of his godchild to reject the works of the devil are intercut with shots of his enemies being gunned down on his orders.Despite my reservations about this film, and although I personally would not have ranked it as my all-time favourite, there can be no denying that it is a film of great power and a milestone in the history of the cinema. 8/10"
4368,True,"Some people have called this one of the best movies of all time. I can see why they say that, although I wouldn't quite rate it that high. It does feature an interesting storyline, great acting and magnificent photography so I am not going to argue with those who place in so high, because it's understandable. It also has a memorable score.One needs to see this on a nice widescreen DVD because it's so beautifully photographed with tons of greens, grays and browns that are just beautiful. It makes me want to visit Italy. The only reason I personally didn't rate it as high as others was I didn't like any of the characters, and especially the hot-headed James Caan. When he got riddled with bullets and was done with, a la ""Bonnie & Clyde,"" that was fine with me!There isn't as much violence as people might think, if they've never seen this movie. To some, this film might be too slow, in fact. However, when the violence or something dramatic occurs it is intense and can be very brutal. Who can ever forget a guy waking up with a dead, bloody horse in his bed?!! Like a good film noir, there is a lot of tension running throughout the Godfather films. Everybody is after somebody it seems and you never know whom to trust. That's part of the downsides of living a criminal life: constant paranoia. All this is put together nicely as we become close observers of the Corleone family, its family ties and its ""business.""Marlon Brando, Al Pacino, Robert Duvall, Caan, Robert DeNiro (later in the saga), Talia Shire, Diane Keaton, Sterling Hayden, Richard Conte, John Cazale, Richard Castellano, on and on - quite a cast and quite a movie. I enjoyed both sequels, too.I am also fortunate to own ""The Godfather Epic"" on tape, which must be some sort of collector's item by now. It is three two-hour tapes in which Godfather I and II are sliced together and the story is presented in chronological order, instead of with all the flashbacks. It's well-done and I would have printed a review on that version, but I don't see it listed on IMDb."
4369,True,"Think epic novel crossed with Mafia speak.Imagine excellent cinematography and direction, a great musical theme, violence, tragedy, spectacle, and the family, and a cast which can't be faulted, and here you have a film which fits the bill on all counts.Vito Corleone (Marlon Brando in one of his greatest roles, one which he supposedly didn't initially want to play) is the powerful Mafia Don we meet early in the film. He has three sons (Sonny - James Caan; Fredo - John Cazale; and Michael - Al Pacino) and a daughter (Talia Shire), and an adopted son (Tom Hagen - Robert Duvall). These are his beloved family and the centre of his world. His day job involves building his empire by making 'offers you can't refuse'.'The Godfather' was the first film in a trilogy following the fortunes of the Corleone family, and I think the best. It has some well-presented set pieces (Connie's wedding; Sonny's murder; Michael's killing of family enemies in the restaurant; the horse's head in the bed; and Vito's death while playing with his grand-child) and is extremely well-written. The novel itself was more soapy, a work of pulp fiction - the film pulls it together and gives it a bit more class.I particularly like the characterisations of Vito and his sons. Vito is assured in his role at the head of the premier Mafia family. Sonny is a vain libertine who is hot-headed. Fredo is a weak disappointment. Michael takes his place in the family when he has to (in fact throughout the three films he is shown to be far more ruthless than any of his relatives).Is 'The Godfather' the greatest film ever made? No, but it is one of the best. Certainly in the top 10 films of the 1970s."
4370,True,"The Godfather is not just a crime film, it's much more deeper than that. It's about loyalty, respect and more than anything, it's about family and real life. The casting in this movie is flawless. Marlon Brando as the Godfather is a perfect casting choice. He brings his unique style to his character and makes him alive. He's not just acting his role, he's living it, at least that's what it feels like. He truly deserves his Best Actor Oscar. Every scene where he is in and every line he says is emotionally touching and breathtaking, and it's not just because of his acting, but it's also because of the film's magnificent writing and directing. The storyline is outstanding. It's based on a novel written by Mario Puzo. Francis Ford Coppola did an amazing job with bringing his story to the screen. He really gave us the best film of all time. Brando wasn't the only one who did a wonderful job with his character, because even though Vito Corleone was the key element of the movie, the movie was still mostly about his son, Michael Corleone, played by Al Pacino. You can really see his character develop during the movie, and you can feel the respect that his character has toward his father. There's a real connection between those two, even though they have a small number of scenes together. Besides Marlon Brando and Al Pacino, there were other supporting roles that were amazing as well, like James Caan as Sonny Corleone, Robert Duvall as Tom Hagen and of course the beautiful Diana Keaton as Kay Adams. This movie has everything. Good acting, directing, writing, cinematography and of course memorable and recognizable music by Nino Rota. In my opinion, there is only one misstep in this film, and that is the lighting in the wedding scene in the beginning of the movie. I can honestly say that this is my favorite movie and if you haven't seen it yet, you should watch it as soon as possible! 10/10 Excellent!(These are just my quick thoughts about this movie)"
