,is_spoiler,review_text
6498,True,"Coppola's masterpiece is rivaled only by ""The Godfather, Part II"" in which the 1940s setting of the first movie is extended backwards and forwards to reveal the corrupting effect of power...The film, breathtaking in its scope and tragic grandeur, shows two parallel stories extending two different time periods: the early career of young Vito Corleone seen first around the turn of the 20th century in Sicily, and then in 1917, building his criminal underworld in the Italian ghettos of New York City, post World War I, plus that of his son, Michael (Al Pacino) desperately trying to keep his family together...Al Pacino's performance is quiet and solemn... He is cold and ruthless, with a whole contrast from the idealistic innocent war hero we initially met at the beginning of the first film... Here he's a calculating and frightening force, seeking to expand casinos into Pre-Revolutionary Cuba and consolidating an empire surrounded by perfidy and treason, maintaining total confidence in his ability to control the situation whether testifying before enraging Senators or trying to outface his worst enemies...The film's haunting final shot of a lonely, isolated paranoid Michael in his empty compound, is an unforgettable movie scene, a tragic portrait of a lonely and fully damned person, emotionally empty and finished, far from a waspish wife, more distant from a faithful lawyer...De Niro's rise, from an orphan child by a family feud back in Italy to a hood in New York and his position as a respected Don, provides a welcome break from Pacino's relentless attitude... Since the people he kills seem to deserve it, Vito comes off better than Michael does, and it was wise of Coppola to shuffle the two stories together despite lengthy flashbacks and the disturbance of continuity...The entire cast contributes greatly to the success of the film: Lee Strasberg, a fascinating mixture of lust and ruthlessness; G. D. Spradlin, absolutely right as the sinister and corrupt Nevada Senator; Michael V. Gazzo, unforgettable as the troubled gray-haired informer; Gastone Moschin, excellent as the blackmailer in white suit; John Cazale, marvelously timid as the vague, confused, and hesitant Fredo; Diane Keaton, clearly irrational as the long-suffering wife Kay; Talia Shire, too extravagant as the lousy mother; Troy Donahue too ambitious as the fortune-hunting suitor; and Robert Duvall excels as the confidant, and retainer to the all-powerful Corleone family...Coppola's motion picture is not just a mere supply with new characters and events from the original, it's a far more complex and intimate movie than its predecessor... It is not really a sequel... It's just more... It cleverly shifts in time between two distinct narratives with extreme realistic violence and criminal mentality of gangsters..."
6499,True,"This sequel is just as terrific as the first film, if not more so. I hesitate to call it a sequel, as ""sequel"" is quite simply the wrong word I am looking for. A film like ""The Matrix Reloaded"" is a sequel - ""The Godfather Part II"" is something more. It's just too good to be called a sequel.The film won six Oscars in 1974, including Best Picture and Best Supporting Actor (Robert De Niro). It deserved every one. It involves the viewer from the start and never lets up. Particular aspects I enjoy in this film are the flashbacks to Don Vito Corleone as a child immigrating to New York City after social problems in his homeland, Sicily. I like the intertwining of Michael Corleone (Al Pacino), his son, in present day, dealing with his crime inheritance, and Vito (Robert De Niro), his father, years ago. I like how, as Michael comes to terms with his family legacy, the film shows us Vito coming to terms with his future. The day he shoots that man in a gritty apartment complex is a turning point in his life. Every actor is in top form here. Al Pacino has gradually made the move from a man who denies his future to a man who is accepting it. His character is the spotlight of this film, much more so than in the first film (though both center around his decisions).Robert De Niro is particularly wonderful and convincing as a young Vito Corleone, who was of course played by the constantly-spoofed Marlon Brando in the original. De Niro takes an iron grip on his character and completely engulfs himself; this was, in 1974, the sign of an actor who would go places. Indeed, he did.Coppola's magical sense of direction is at work here, as is the script by Coppola and Mario Puzo (whose novels the series is based upon). The original was a wonderful film, but the sequel presents more of a challenge. Flashbacks are often intercut in the middle of other films are awkward times, but in ""The Godfather Part II,"" Coppola uses them at precisely the right moments, managing to careen in and out of scenes and time periods with free abandon.It takes a great kind of skill to master something like this, much less a sequel to one of the most beloved films of all time. ""The Godfather"" was an instant classic upon its release in 1972. Coppola had two years to plan for his continuation of the film. People told him it wouldn't work, he would never beat the original, and he would never pull it off. But he showed them all. ""The Godfather Part II"" may well be the best sequel I have ever seen in my entire lifetime. I wish they were all this good. To call it a ""sequel"" almost seems insulting."
6500,True,"OK. Let's get real. The Godfather is beyond excellent in every single way. I'm not giving comments on The Godfather, because it would be almost blasphemy. Nevertheless, I expected much more on part II. Personally, I didn't like it. Here's the deal: the story was way too slow paced. Nothing really happened. Only the hit on Michael's house, and the build up for young Vito's story was what makes you interested. The rest is just anti-climatic and dull. The dialogs weren't as quotable or stand alone as in the first. I thought as a sad imitation of the real thing.Al Pacino's performance was absolutely superb. The problem wasn't that. The whole character was what failed. In the first, we get the glimpse of a warm man, but gets cold when is needed. A man who thinks before he talks. In this one, we see a man who is cold and heartless every single time you see him. He no longer has the eminence that Vito Corleone once had. The previous Don was eminent and even though he could scare the hell out of you with his stare, you respected and looked up to him. Now, his son is just pure evil. And that doesn't make sense. In the book, it's clear that Michael is the living image of his father. So, what happened? Him killing Fredo was completely useless. Even if he did betray him, there was no need to have him whacked. A Don just doesn't kill anyone from his own family (not ""the Family"", the real one). I know, Michael did kill Carlo, but let's remember he was not really family, just an in-law, and he did deserve what was coming. Another thing I personally hated was what happened to Connie. As you will see in the third, she radically changes from the naive Don's daughter to... Sorry, wrong movie. Anyway, all the other aspects, (filmmaking, score, performances, photography)were indeed flawless. It's interesting. You can perfectly notice Coppola's anatomy for each ""Godfather"". You start with a prologue, then a religious ceremony and/or a party afterward, the plot then starts and a pivotal point is a hit on the Don. The rest is a slow, yet properly thought vengeance that ends with a gigantic and operatic blood bath. However, for part II, it wasn't's that operatic or with the same effect than part I. It was anti-climatic, and pretty disappointing.Another flaw I found was that the story doesn't really stick to the book. One key aspect in the film didn't even appear in Mario Puzo's novel: Vito Corleone never returned to Sicily. The name of the Don who had his family killed doesn't even matter. Still, the scene prominently explains Don Tomassino's condition from the first.Now, don't get me wrong. I'm a die hard fan of ""The Godfather"". I consider it to be the best movie ever (and the best novel ever, too). But part II just doesn't do it for me."
6501,True,"Sequel to the original Godfather is slower moving than the original but maybe better. The first was fresh material and Brando's presence was a huge plus. But this one digs into the blood and guts of the two main characters, provoking more thought, as well as introducing us to one of the most prolific actors today.Michael's descent into darkness is terrible to behold. Tragedy surrounds him as he struggles to maintain his empire but alienates himself in the process. Hey, it's not easy holding a crime empire together. I think this film sets out to make Michael a tragic figure but how do you feel sympathy for a guy who murders family members? It's a cold world obviously, and takes a strong man to stay on top. Very interesting final scene, grim and stark, as Michael sits contemplating on a chair watching the dead leaves blow around him.Pacino's performance is magnificent. Some great scenes, especially when Michael realizes Fredo betrayed him. That simple movement of covering his forehead in shock and despair conveys so much. Michael becomes a three dimensional character in this film as opposed to the first. Pacino just nails the part.The secondary story is the rise of Michael's father, Vito Corleone and we watch the birth of a star. DeNiro even surpasses Pacino in his part, if that is possible. The calculating Vito as he calmly stalks Don Fanucci from the rooftops is classic film. DeNiro plays the role of Death himself: knife thin, pale yet slick and immaculate in appearance. How many other hit men in the movies borrowed DeNiro's look? What the Godfather does, unlike so many other films of it's generation is convey thought in simple movements. Watch DeNiro as he pales visibly, staring at an old Italian remedy of his sick baby. We know right then that Vito Corleone will do whatever it takes to protect and save his family. Watch him as Don Fanucci boards his car and leans on him. By DeNiro's expression, we know Fanucci is already a dead man. That's unsurpassed acting.The sets are beautiful to behold and this is probably the best cinematography I have seen in any movie. Early 1900's New York, in the Italian neighborhood is unreal. Watch the pedestrians and background movement while the focus of the scene is occurring. That's sheer magic. Once again, watch Hyman Roth in Cuba lie on the couch, shirtless and a gentle wind moving the drapes. We can practically feel the heat and hear and smell the city of Havana. It made me think how much care and calculation was put into this movie.Some weak points: Lee Strasberg as Hyman Roth was not on par with the other actors. Gazzo as Pentangeli just grated on my nerves, especially in the first hour. I was hoping he would get whacked so he would not appear in the rest of the film. The rest of the cast is great as usual, especially Duvall and Kirby. Not much to complain about.The second Godfather, tries to do what the first does, a study of Vito vs. Michael. They both have different motivations for ruling their empire. Whereas Vito tries to do whatever it takes to rise from poverty and provide for his family out of love, Michael rules out of ruthlessness and a need to succeed to maintain his empire. You can see where the results have taken both.One of the greatest films of all time."
6502,True,"The sequel to ""The Godfather,"" at times, was just as impressive, and sometimes even more impressive than the original. Overall, though the film struggles with it's flashbacks to an early New York as we watch a young Vito Corleone (Robert De Niro), rise to power. ""The Godfather II,"" wants to be both a prequel and sequel at the same time. When we're in the present time watching Michael Corleone (Al Pacino) fight off Senators that are trying to squeeze him, or when we're watching his house get shot up on an assassination attempt that involved someone very close to the family we always find our self in amazement. When we jump back in time, you get a feeling of intrusion. The script is to blame because its too bloated, and wants to accomplish so much in it's near three hour run time. When we're in the early 1920s we see things that are entertaining and gratifying, but ultimately not even close to being on par with the present day status of the Corleone family. Its good to know and see how the godfather started out, but there's too much to say and not enough time to say it. The bloated section of the film becomes underwritten. We don't really learn anything about Vito Corleone that we didn't already know. We don't really see how he gains his power. He kills ""The Black Hand,"" and one day, through rumors, he becomes the Don of the city. Just like that. Just like that? Really? Then we come back and he's all of a sudden in the Olive Oil business. We don't know how he got there or anything, he's just there. De Niro gives it his best, but he's just not working with anything to give any kind of performance that's remotely on the same level as Brando did in the previous film. I found it painful to watch De Niro try to imitate Brando. When we see the city, it does have a good look to it, and its convincing as the set and costumes designs, along with the art direction, are very good. We never see big wide shots of the city block. We see a lot of people and grocery stores go by the quickly moving camera. Coppola does an excellent job of not pulling back too far (Probably didn't have the budget to make a huge set of the city), but we get a claustrophobic sensation. The kind of claustrophobic sensation where a guy right next door, in the next building, is close enough to stick his head out the window, call for you, and hand you a sack full of guns. Coppola encapsulates the city, and the time very well. There are some great moments in the flashbacks, but I could have lived without it entirely, and probably would have watched a much better film (Possibly better than the original). When Michael finds that his own brother, Fredo (John Cazel), knew about the assassination attempt on his life, and that he was involved and that he never told Michael about his connection with Hymen Roth and Johnny Ola, it infuriates Michael to the point of no return. He feels as though he loses his family. When he confronts Fredo, he doesn't say much; he's sick of him; Fredo's too stupid to have around, and he can't even look at him. Coppola' direction here is magnificent. Even though its dark and you can't see the reactions of both of the men, they're both in the picture with the light shinning through the windows creating silhouettes of the men that were, and we see their body language, and the body language tells us everything we need to know.Cazel gives a great performance throughout the entire film, and we wish we got to see more from his character. He's so good in this one scene that it stands as one of the best scenes in film history, and a huge part of that is due to him. The words that come out of his mouth are on par with Marlon Brando' speech in, ""On the Waterfront."" All this frustration, years of it, just boil over to point of pity. He's pleading with his brother. We watch him spill his guts on the table, and admit that he's well aware of being stupid and feeding into that stereotype as he watches his younger brother give him orders we feel his pain and frustration for not living up to the coldness and callousness of his family. He feels like an outsider, a coward, and a loser. All the while, Michael sits in front of the window looking at the boathouse. He doesn't care what Fredo has to say, which makes it all that more painful to watch for the both of them. Michael wants information from him, and that's it. One feels like an outsider, and one is an outsider. Neither of them fit in this lifestyle, but it ruins both of their lives. Fredo wants respect and power. Michael has the power, but no respect, and finds out that he loses everything that he ever cared about: his family. Its one of the most powerful scenes in cinematic history."
6503,True,"Well I watched the first Godfather film and wasn't impressed what so ever, completely overrated. However Part II is one of those films that people always go on about being a better sequel than the first...unfortunately it is even more boring and slow than the first.Again its incredibly long, and literally nothing happens in this film! Only one 'big' event happens (Michael's home being shot up), which isn't that exciting, and the whole film slowly develops around this. There is also the De Niro 'becoming' Don Vito side story which I don't think adds anything to the story at all. He goes from being a normal guy to then shooting the main boss in the town then instantly somehow becomes The Don..with no retaliation what so ever, and it doesn't even show you him becoming The Don. The next time it cuts to his story he is already The Don. Maybe I missed a part (which is possible as I ended up messing around on the internet while watching as it was that boring)"
6504,True,"Godfather Two is Coppola's movie---and he had no instincts for the mafia. The Godfather author, Mario Puzo, objected to having Michael kill his own brother, but finally gave in to keep his share of the Hollywood millions.Godfather Two has lightweights as heavies: the drunken New York mob guy and Hyman Roth can't compare to Barzini, Sollozo, and the other heavyweight bad guys of the original Godfather written by Puzo.Godfather Two loses the atmosphere of the mob while it meanders lengthily into Cuba.The main point that makes Godfather Two inferior is that it does not contain a single sympathetic character.The endless scenes in the Lake Tahoe home of Michael's are tiresome, dreary after a while, and lack interest as compared to the original Puzo story.This movie shows a deterioration from the original, just as the mob has deteriorated in recent years.Coppola had no right to think he could write his own Godfather, and his inferiority to Puzo when it comes to dealing with the mob shows up here in technicolor.Meanwhile, poor Mario Puzo watched his story being degraded by the instinctless Coppola, objected at first, and then gave in. Pathetic.The only scenes that actually ring true here are from the original Puzo book (the earlier life of Vito Corleone).The contrast between the dreary Coppola script of Godfather Two and its dreary characters is brought home strongly by the final (flashback) scene where Sonny Corleone and the others are around the table. As soon as Sonny appears, everything comes to life."
6505,True,"The saga of the Corleone family continues from ""The Godfather"" in this classic film directed by Francis Ford Coppola entitled ""The Godfather Part II"" that was released two years after the original film was released.This movie that stars Al Pacino and Robert De Niro,who portrays Michael Corleone and the young Vito Corleone respectively,together with Robert Duvall,Diane Keaton,John Cazale,G.D Spradlin, and Method acting teacher Lee Strasberg,tells the parallel story of the expansion of Corleone crime family headed by Don Michael during the 1950's and the rise to power of the young Don Vito during the 1920's.No question that the themes of corruption,ruthlessness,amorality and ambition continues in this film as both Michael and the young Vito continues to pursue their respective American dreams in this parallel story being told when both father-and-son were at the same age.We get to see Michael expands the family's gambling operations in Cuba and his pursuit to making the Corleone family legitimate while dealing with rival mobsters who intend to eliminate him like Frank Pentangeli and Jew mobster Hyman Roth.It also tells the story of how he dealt with the federal indictment by the U.S.Senate.As for the young Vito,we get to witness from how his family got killed by the local mafia chieftain Don Ciccio in Corleone,Italy and how he migrated to New York a young age.Then,it narrates how he started as an ordinary worker and then rose into stature and power after dealing with the area's extortionist,Don Fannucci and killing Don Ciccio to strengthen his family's power in both the United States and in Italy.This was definitely one great film just like the original.It definitely would compare to the first film as we get to witness two great parallel stories of ambition and rise to power.In addition to that,we also get to see how much the characters of Vito and Michael deteriorated into becoming ruthless,corrupt and amoral as their power and stature increased.Aside from great stories,we also get to see great performances from its lead stars - Al Pacino and Robert De Niro - wherein the latter won an Oscar for his portrayal the young Vito.Added to that,we also get to see great performances from the other members of the cast such as Lee Strasberg,who got nominated for an Oscar as the Jew mobster, and Diane Keaton as Kay,the embittered wife of Michael.After more than 43 years since it was initially released in the theaters while this review is currently written,it would still be a fun to watch and it will hold up.Just like what I have stated in my review of the first film ""The Godfather"",I also would say that this film that tells the story of amorality,ruthlessness and ambition ""The Godfather Part II"" is truly a masterpiece."
6506,True,"What else can be said about The Godfather series? One small gripe: The storyline shows young Vito Corleone (Robert Deniro) murder the local boss, then basically take control of the neighborhood. Historically, there would have been a dozen other guys in line to take the boss's spot -- young Vito, with no real connections outside of his petty thief neighbor, would have been disposed of immediately. In real life, bosses were bred into the position or it was taken hostilely from the inside. By the era that this movie portrays, Sicilian black handers and Neapolitan Camorra (among others) were fairly organized -- But, hey, its a (great) movie :)"
6507,True,"""It's not easy to be a son, Fredo. It's not easy."" Is undeniably the best sequel ever made and one of the best films ever made. First off, Robert De Niro's performance as the young Don Corleone completely owns. Pure genius, pure craft.Secondly, well it's Pacino, all Pacino. One pure example, at its best is when Diane Keaton's character confesses to him ' it wasn't a miscarriage'' revealing that instead she had an abortion, so that she wouldn't bring him anymore sons into the world. Watch Pacino's face during this entire scene!!!!!!!! Or the last flashback scene where Michael reveals that he has joined the Marines to the disgust of his family and such, at this time he had his own ' dreams' now, we simply watch the price which Michael Corleone has paid himself for power."
